article,basic,article (crossentropy)
0.8631368631368631,0.8581418581418582,0.872127872127872
0.5,0.8661338661338662,0.8921078921078921
0.8166833166833167,0.8771228771228771,0.8811188811188813
0.8346653346653347,0.7582417582417582,0.8851148851148851
0.8301698301698303,0.8911088911088911,0.8061938061938062
0.8311688311688311,0.8811188811188811,0.8901098901098901
0.8321678321678321,0.8721278721278721,0.8771228771228772
0.8326673326673327,0.8741258741258742,0.9020979020979021
0.8451548451548452,0.8831168831168831,0.878121878121878
0.8366633366633367,0.8721278721278721,0.7902097902097902
0.8191808191808191,0.7772227772227773,0.8806193806193807
0.8351648351648352,0.849150849150849,0.8881118881118881
0.8251748251748252,0.8031968031968032,0.8751248751248751
0.8371628371628371,0.8411588411588411,0.9000999000999002
0.8371628371628371,0.7872127872127872,0.8816183816183816
0.8461538461538461,0.8701298701298702,0.8661338661338661
0.8021978021978022,0.8561438561438561,0.8951048951048952
0.8341658341658341,0.8631368631368631,0.8831168831168831
0.8211788211788212,0.8861138861138861,0.8891108891108892
0.8421578421578422,0.865134865134865,0.8841158841158842
0.8311688311688312,0.843156843156843,0.8861138861138862
0.8401598401598401,0.8701298701298702,0.8701298701298701
0.8511488511488511,0.7792207792207791,0.8841158841158842
0.5,0.882117882117882,0.8446553446553446
0.8246753246753246,0.8131868131868132,0.887112887112887
